Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas
,23,Female,Once a month,"['Beauty and Personal Care', 'Home and Kitchen']",no,Few times a week,categories,Multiple pages,1,yes,Sometimes,Changed my mind or no longer need the item,Often,yes,Moderately,no,3,yes,2,2,Product recommendations,Product quality and accuracy
,21,Female,Once a month,['Clothing and Fashion'],sometimes,Few times a week,Unknown,Multiple pages,3,yes,Always,Changed my mind or no longer need the item,Often,no,Moderately,sometimes,3,sometimes,3,3,User-friendly website/app interface,Customer service responsiveness
,23,Female,Less than once a month,"['Clothing and Fashion', 'others']",no,Few times a month,Keyword,Multiple pages,2,yes,Often,Changed my mind or no longer need the item,Rarely,no,Moderately,yes,2,sometimes,2,1,Wide product selection,Shipping speed and reliability
,27,Male,Once a month,['others'],sometimes,Few times a month,Keyword,Multiple pages,3,yes,Sometimes,Changed my mind or no longer need the item,Often,yes,Moderately,yes,3,sometimes,3,1,Wide product selection,Product quality and accuracy
,38,Female,Once a month,"['Beauty and Personal Care', 'Home and Kitchen']",no,Few times a month,Keyword,Multiple pages,2,yes,Often,Changed my mind or no longer need the item,Never,yes,Moderately,sometimes,4,sometimes,4,2,Wide product selection,Product quality and accuracy
,23,Female,Less than once a month,"['Beauty and Personal Care', 'Clothing and Fashion']",no,Rarely,Keyword,First page,1,yes,Sometimes,Found a better price elsewhere,Never,no,Heavily,yes,3,no,2,2,User-friendly website/app interface,Product quality and accuracy
,38,Female,Less than once a month,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']",no,Few times a month,categories,First page,3,no,Sometimes,Found a better price elsewhere,Rarely,no,Moderately,no,4,no,4,2,Product recommendations,Shipping speed and reliability
,23,Male,Few times a month,['others'],no,Few times a week,categories,Multiple pages,3,no,Rarely,Found a better price elsewhere,Sometimes,yes,Heavily,sometimes,2,yes,3,3,Competitive prices,Reducing packaging waste
,24,Male,Once a week,"['Clothing and Fashion', 'others']",no,Few times a week,categories,First page,2,no,Often,Found a better price elsewhere,Often,yes,Occasionally,no,3,no,3,2,Product recommendations,Customer service responsiveness
,25,Female,Once a week,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']",yes,Few times a week,Filter,First page,2,no,Often,Found a better price elsewhere,Sometimes,yes,Heavily,no,2,yes,3,2,Product recommendations,Customer service responsiveness
,26,Male,Less than once a month,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen', 'others']",yes,Few times a week,Keyword,Multiple pages,1,yes,Often,Found a better price elsewhere,Sometimes,no,Heavily,yes,1,yes,2,1,Wide product selection,Customer service responsiveness
,27,Male,Once a week,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen', 'others']",no,Few times a month,Filter,First page,3,no,Sometimes,Found a better price elsewhere,Sometimes,yes,Occasionally,no,3,no,3,2,Competitive prices,Product quality and accuracy
,29,Prefer not to say,Once a week,['Beauty and Personal Care'],yes,Few times a week,categories,Multiple pages,1,no,Sometimes,Found a better price elsewhere,Sometimes,yes,Occasionally,no,3,no,2,1,Competitive prices,Customer service responsiveness
,35,Prefer not to say,Few times a month,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']",no,Few times a month,Filter,Multiple pages,3,no,Sometimes,Found a better price elsewhere,Sometimes,no,Never,no,4,no,3,2,Competitive prices,Reducing packaging waste
,21,Female,Once a month,"['Beauty and Personal Care', 'Clothing and Fashion']",yes,Few times a week,Keyword,Multiple pages,1,yes,Sometimes,Changed my mind or no longer need the item,Sometimes,no,Heavily,yes,1,sometimes,3,1,Competitive prices,Product quality and accuracy
,36,Male,Few times a month,"['Beauty and Personal Care', 'Home and Kitchen']",no,Few times a month,categories,First page,4,maybe,Sometimes,Changed my mind or no longer need the item,Often,yes,Occasionally,no,2,yes,2,3,Product recommendations,Customer service responsiveness
,44,Female,Few times a month,['Beauty and Personal Care'],no,Multiple times a day,Filter,First page,2,no,Often,High shipping costs,Sometimes,no,Occasionally,no,2,no,2,2,Competitive prices,Customer service responsiveness
,32,Female,Once a week,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen', 'others']",yes,Multiple times a day,Keyword,Multiple pages,1,yes,Often,Found a better price elsewhere,Always,yes,Heavily,yes,1,yes,1,1,User-friendly website/app interface,Customer service responsiveness
,30,Male,Few times a month,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Home and Kitchen']",no,Few times a month,Filter,Multiple pages,3,yes,Always,High shipping costs,Often,yes,Moderately,yes,4,no,3,2,Competitive prices,Product quality and accuracy
,36,Others,Less than once a month,['others'],sometimes,Rarely,others,First page,5,maybe,Never,others,Never,no,Never,sometimes,5,sometimes,5,5,User-friendly website/app interface,Shipping speed and reliability
,25,Male,Less than once a month,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen', 'others']",no,Rarely,Keyword,Multiple pages,1,yes,Sometimes,Changed my mind or no longer need the item,Always,no,Heavily,yes,1,yes,1,1,Wide product selection,Customer service responsiveness
,20,Female,Multiple times a week,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']",yes,Multiple times a day,Keyword,Multiple pages,1,yes,Always,High shipping costs,Always,yes,Heavily,yes,4,yes,1,1,Wide product selection,Product quality and accuracy
,35,Female,Once a week,['Beauty and Personal Care'],no,Few times a month,categories,First page,3,no,Rarely,Changed my mind or no longer need the item,Sometimes,no,Occasionally,no,2,sometimes,4,3,Product recommendations,Product quality and accuracy
,42,Male,Less than once a month,"['Groceries and Gourmet Food', 'Home and Kitchen', 'others']",yes,Few times a month,Keyword,Multiple pages,1,yes,Often,Found a better price elsewhere,Always,yes,Heavily,yes,1,yes,1,1,Wide product selection,Product quality and accuracy
,37,Female,Few times a month,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']",no,Few times a month,categories,Multiple pages,2,no,Often,Found a better price elsewhere,Often,no,Moderately,no,2,no,1,1,Product recommendations,Reducing packaging waste
,28,Female,Multiple times a week,"['Beauty and Personal Care', 'Clothing and Fashion', 'others']",yes,Multiple times a day,Keyword,Multiple pages,1,yes,Often,Changed my mind or no longer need the item,Always,yes,Heavily,yes,3,sometimes,2,1,Wide product selection,Customer service responsiveness
,27,Male,Once a week,"['Beauty and Personal Care', 'Home and Kitchen']",no,Few times a week,categories,First page,2,no,Often,Changed my mind or no longer need the item,Often,no,Heavily,sometimes,3,no,2,2,Competitive prices,Customer service responsiveness
,45,Female,Once a week,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']",no,Multiple times a day,categories,Multiple pages,2,no,Often,Changed my mind or no longer need the item,Often,no,Moderately,no,2,no,2,2,Competitive prices,Product quality and accuracy
,35,Male,Less than once a month,"['Groceries and Gourmet Food', 'Clothing and Fashion', 'Home and Kitchen', 'others']",yes,Rarely,Keyword,First page,1,yes,Rarely,High shipping costs,Always,yes,Heavily,yes,1,yes,1,1,Competitive prices,Shipping speed and reliability
,50,Female,Multiple times a week,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']",no,Few times a week,Filter,First page,3,yes,Often,Changed my mind or no longer need the item,Rarely,yes,Moderately,no,2,no,3,2,Competitive prices,Reducing packaging waste
,54,Female,Few times a month,"['Beauty and Personal Care', 'others']",no,Few times a week,Keyword,First page,3,no,Rarely,Changed my mind or no longer need the item,Sometimes,no,Moderately,yes,2,no,3,2,Competitive prices,Reducing packaging waste
,29,Female,Multiple times a week,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen', 'others']",yes,Multiple times a day,Keyword,Multiple pages,1,yes,Sometimes,Changed my mind or no longer need the item,Always,yes,Heavily,yes,1,sometimes,1,1,Competitive prices,Product quality and accuracy
,63,Male,Less than once a month,"['Groceries and Gourmet Food', 'Home and Kitchen', 'others']",no,Rarely,Keyword,Multiple pages,1,yes,Sometimes,Found a better price elsewhere,Sometimes,no,Heavily,yes,2,sometimes,3,2,Competitive prices,Customer service responsiveness
,24,Male,Few times a month,"['Beauty and Personal Care', 'Clothing and Fashion']",sometimes,Few times a week,Keyword,Multiple pages,1,yes,Sometimes,Found a better price elsewhere,Sometimes,no,Heavily,sometimes,2,sometimes,2,1,Competitive prices,Product quality and accuracy
,23,Female,Less than once a month,['Beauty and Personal Care'],no,Rarely,Keyword,Multiple pages,1,yes,Rarely,High shipping costs,Often,yes,Heavily,yes,1,yes,1,1,Wide product selection,Shipping speed and reliability
,26,Female,Few times a month,"['Beauty and Personal Care', 'Clothing and Fashion']",yes,Few times a week,categories,Multiple pages,1,yes,Always,High shipping costs,Always,yes,Occasionally,yes,5,yes,1,1,Wide product selection,Product quality and accuracy
,29,Male,Multiple times a week,"['Beauty and Personal Care', 'Clothing and Fashion']",no,Multiple times a day,Filter,Multiple pages,5,yes,Sometimes,Found a better price elsewhere,Always,no,Rarely,yes,3,yes,1,1,Competitive prices,Shipping speed and reliability
,46,Prefer not to say,Few times a month,"['Beauty and Personal Care', 'Clothing and Fashion']",no,Few times a month,Keyword,Multiple pages,2,no,Sometimes,Found a better price elsewhere,Sometimes,no,Moderately,no,2,yes,3,2,Competitive prices,Reducing packaging waste
,24,Male,Less than once a month,['others'],no,Few times a month,Keyword,Multiple pages,4,yes,Sometimes,Found a better price elsewhere,Sometimes,no,Occasionally,yes,3,yes,4,5,Wide product selection,Nil
,33,Female,Few times a month,"['Groceries and Gourmet Food', 'Beauty and Personal Care']",no,Few times a week,Filter,Multiple pages,2,no,Sometimes,Found a better price elsewhere,Often,no,Occasionally,no,2,no,2,2,Competitive prices,Reducing packaging waste
,33,Female,Once a week,"['Beauty and Personal Care', 'others']",no,Few times a week,Filter,First page,5,maybe,Never,Changed my mind or no longer need the item,Rarely,no,Occasionally,no,2,yes,1,1,Product recommendations,Shipping speed and reliability
,31,Prefer not to say,Once a month,['Clothing and Fashion'],no,Few times a month,categories,First page,3,no,Sometimes,Changed my mind or no longer need the item,Sometimes,no,Heavily,no,3,no,5,4,Wide product selection,Shipping speed and reliability
,40,Prefer not to say,Few times a month,"['Clothing and Fashion', 'Home and Kitchen']",sometimes,Multiple times a day,Filter,First page,2,no,Always,High shipping costs,Often,no,Occasionally,no,1,yes,1,2,Product recommendations,Reducing packaging waste
,37,Male,Once a week,"['Beauty and Personal Care', 'Clothing and Fashion']",no,Few times a month,categories,First page,3,no,Sometimes,Found a better price elsewhere,Always,no,Occasionally,no,2,no,3,4,Product recommendations,Customer service responsiveness
,25,Prefer not to say,Few times a month,['Beauty and Personal Care'],no,Rarely,categories,First page,3,no,Rarely,Changed my mind or no longer need the item,Often,no,Heavily,no,2,no,3,2,User-friendly website/app interface,Product quality and accuracy
,60,Female,Once a week,"['Beauty and Personal Care', 'Clothing and Fashion']",yes,Multiple times a day,Keyword,First page,2,no,Sometimes,Changed my mind or no longer need the item,Sometimes,no,Occasionally,no,2,no,2,3,Product recommendations,Customer service responsiveness
,18,Female,Once a week,"['Groceries and Gourmet Food', 'Beauty and Personal Care']",no,Few times a month,categories,First page,3,maybe,Sometimes,Found a better price elsewhere,Often,no,Rarely,no,4,no,4,4,Competitive prices,Reducing packaging waste
,50,Male,Less than once a month,"['Clothing and Fashion', 'Home and Kitchen', 'others']",no,Few times a week,categories,Multiple pages,3,no,Never,others,Rarely,no,Occasionally,no,4,no,4,4,Product recommendations,Shipping speed and reliability
,24,Prefer not to say,Few times a month,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']",sometimes,Few times a month,categories,First page,1,no,Sometimes,Changed my mind or no longer need the item,Rarely,no,Occasionally,sometimes,3,no,2,3,Wide product selection,Product quality and accuracy
,19,Female,Few times a month,"['Beauty and Personal Care', 'Clothing and Fashion']",no,Few times a month,categories,First page,3,no,Often,Found a better price elsewhere,Sometimes,no,Occasionally,no,2,no,3,2,Wide product selection,Customer service responsiveness
,18,Female,Once a month,"['Beauty and Personal Care', 'Clothing and Fashion', 'others']",no,Rarely,others,First page,4,maybe,Rarely,High shipping costs,Always,yes,Moderately,no,1,no,2,1,Wide product selection,Product quality and accuracy
,17,Male,Few times a month,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion']",no,Few times a week,categories,Multiple pages,3,maybe,Never,Changed my mind or no longer need the item,Always,yes,Moderately,no,2,no,2,2,Wide product selection,Customer service responsiveness
,27,Female,Once a month,['Beauty and Personal Care'],no,Few times a week,Keyword,Multiple pages,1,yes,Often,Changed my mind or no longer need the item,Sometimes,yes,Heavily,yes,3,sometimes,3,2,Wide product selection,Shipping speed and reliability
,23,Male,Less than once a month,"['Beauty and Personal Care', 'Home and Kitchen', 'others']",no,Rarely,Filter,Multiple pages,1,no,Often,Changed my mind or no longer need the item,Never,no,Heavily,yes,5,no,5,2,Wide product selection,Product quality and accuracy
,35,Female,Few times a month,['Beauty and Personal Care'],no,Few times a month,categories,First page,3,maybe,Rarely,Found a better price elsewhere,Often,yes,Occasionally,no,2,no,4,2,Product recommendations,Reducing packaging waste
,57,Female,Few times a month,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen', 'others']",no,Few times a week,Filter,Multiple pages,2,no,Always,Changed my mind or no longer need the item,Rarely,no,Occasionally,yes,3,sometimes,3,1,Product recommendations,Reducing packaging waste
,54,Male,Few times a month,"['Groceries and Gourmet Food', 'Clothing and Fashion', 'Home and Kitchen']",no,Few times a week,Filter,First page,3,no,Rarely,Found a better price elsewhere,Sometimes,yes,Moderately,no,3,no,2,2,Competitive prices,Product quality and accuracy
,26,Prefer not to say,Once a month,['Beauty and Personal Care'],no,Few times a month,categories,Multiple pages,2,no,Sometimes,High shipping costs,Often,no,Heavily,no,2,no,2,2,Wide product selection,Shipping speed and reliability
,46,Male,Once a week,['Beauty and Personal Care'],sometimes,Rarely,Keyword,Multiple pages,2,yes,Often,Found a better price elsewhere,Often,yes,Heavily,no,2,no,2,2,Competitive prices,Customer service responsiveness
,26,Female,Multiple times a week,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen', 'others']",sometimes,Few times a week,Keyword,Multiple pages,1,maybe,Often,others,Often,yes,Moderately,yes,3,sometimes,3,2,Competitive prices,Add more familiar brands to the list
,24,Male,Once a month,['others'],no,Few times a month,Filter,Multiple pages,1,yes,Often,Changed my mind or no longer need the item,Often,yes,Heavily,yes,1,yes,3,2,User-friendly website/app interface,Shipping speed and reliability
,26,Female,Once a month,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion']",no,Few times a week,categories,Multiple pages,1,yes,Often,Changed my mind or no longer need the item,Never,yes,Heavily,yes,2,yes,1,1,User-friendly website/app interface,Shipping speed and reliability
,27,Male,Once a month,['Clothing and Fashion'],no,Few times a month,categories,Multiple pages,5,maybe,Often,High shipping costs,Never,yes,Heavily,yes,3,yes,1,2,Wide product selection,Shipping speed and reliability
,22,Female,Few times a month,['Beauty and Personal Care'],yes,Multiple times a day,Filter,Multiple pages,3,maybe,Often,Found a better price elsewhere,Always,yes,Moderately,sometimes,1,sometimes,3,3,Competitive prices,Customer service responsiveness
,24,Male,Few times a month,['Beauty and Personal Care'],yes,Few times a week,categories,Multiple pages,3,yes,Sometimes,Found a better price elsewhere,Sometimes,no,Occasionally,yes,3,yes,3,3,Product recommendations,Customer service responsiveness
,25,Male,Multiple times a week,['Beauty and Personal Care'],no,Few times a week,Filter,Multiple pages,3,maybe,Often,Found a better price elsewhere,Often,no,Occasionally,sometimes,2,no,3,3,Competitive prices,Reducing packaging waste
,22,Prefer not to say,Once a month,['Beauty and Personal Care'],yes,Few times a week,others,First page,2,maybe,Often,Found a better price elsewhere,Sometimes,yes,Heavily,no,3,sometimes,3,3,Product recommendations,Customer service responsiveness
,27,Male,Once a month,['others'],no,Few times a month,Keyword,Multiple pages,1,yes,Often,High shipping costs,Never,yes,Heavily,yes,3,yes,1,1,User-friendly website/app interface,Shipping speed and reliability
,23,Female,Less than once a month,"['Clothing and Fashion', 'Home and Kitchen']",no,Few times a month,Keyword,First page,1,yes,Sometimes,Found a better price elsewhere,Sometimes,no,Moderately,yes,2,yes,2,2,Competitive prices,Shipping speed and reliability
,24,Male,Less than once a month,['Clothing and Fashion'],no,Few times a month,categories,First page,1,maybe,Sometimes,High shipping costs,Never,no,Heavily,yes,3,yes,3,3,User-friendly website/app interface,Product quality and accuracy
,24,Female,Less than once a month,['Beauty and Personal Care'],no,Rarely,categories,First page,4,yes,Sometimes,Changed my mind or no longer need the item,Never,no,Moderately,yes,3,no,3,3,Competitive prices,Product quality and accuracy
,23,Female,Few times a month,['Clothing and Fashion'],no,Few times a month,Filter,Multiple pages,1,yes,Sometimes,Found a better price elsewhere,Sometimes,no,Heavily,sometimes,4,yes,3,4,User-friendly website/app interface,Product quality and accuracy
,23,Male,Once a month,"['Clothing and Fashion', 'others']",no,Few times a month,Keyword,Multiple pages,1,yes,Sometimes,Found a better price elsewhere,Often,yes,Heavily,yes,3,no,3,3,Competitive prices,UI
,25,Female,Once a week,['Groceries and Gourmet Food'],yes,Multiple times a day,Filter,Multiple pages,3,yes,Sometimes,Changed my mind or no longer need the item,Often,no,Moderately,yes,3,yes,3,3,Product recommendations,Reducing packaging waste
,21,Male,Once a week,['Groceries and Gourmet Food'],no,Few times a week,categories,First page,5,maybe,Sometimes,High shipping costs,Rarely,yes,Occasionally,no,3,no,3,3,User-friendly website/app interface,Customer service responsiveness
,36,Female,Few times a month,['Groceries and Gourmet Food'],no,Few times a month,Keyword,Multiple pages,2,no,Often,Found a better price elsewhere,Sometimes,yes,Occasionally,no,3,sometimes,3,4,Wide product selection,Customer service responsiveness
,23,Female,Multiple times a week,['Beauty and Personal Care'],yes,Few times a week,Filter,Multiple pages,3,no,Often,Found a better price elsewhere,Sometimes,yes,Occasionally,yes,3,sometimes,3,3,Competitive prices,Customer service responsiveness
,23,Female,Few times a month,['Clothing and Fashion'],sometimes,Few times a month,Filter,Multiple pages,3,no,Rarely,Found a better price elsewhere,Sometimes,yes,Occasionally,yes,3,no,3,3,Product recommendations,Customer service responsiveness
,23,Prefer not to say,Once a week,['Clothing and Fashion'],yes,Few times a month,categories,Multiple pages,3,maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,yes,Occasionally,yes,3,no,3,3,Product recommendations,Customer service responsiveness
,21,Female,Once a week,['Beauty and Personal Care'],yes,Few times a week,Filter,Multiple pages,3,maybe,Sometimes,Found a better price elsewhere,Sometimes,no,Moderately,yes,3,no,3,3,Competitive prices,Customer service responsiveness
,23,Prefer not to say,Once a week,['Clothing and Fashion'],yes,Few times a month,Keyword,Multiple pages,3,maybe,Often,High shipping costs,Always,yes,Heavily,yes,3,sometimes,3,3,Competitive prices,Product quality and accuracy
,26,Others,Few times a month,['Beauty and Personal Care'],yes,Few times a week,Filter,Multiple pages,3,yes,Sometimes,High shipping costs,Sometimes,yes,Occasionally,no,3,no,2,3,User-friendly website/app interface,Product quality and accuracy
,30,Female,Few times a month,['Beauty and Personal Care'],yes,Few times a week,Filter,Multiple pages,3,maybe,Sometimes,Found a better price elsewhere,Never,yes,Moderately,sometimes,3,sometimes,3,3,Product recommendations,Customer service responsiveness
,37,Female,Once a month,['Clothing and Fashion'],sometimes,Few times a month,categories,Multiple pages,1,yes,Sometimes,Changed my mind or no longer need the item,Often,no,Heavily,yes,4,sometimes,2,3,Wide product selection,Product quality and accuracy
,26,Female,Once a month,['Beauty and Personal Care'],yes,Few times a week,categories,Multiple pages,3,yes,Sometimes,Changed my mind or no longer need the item,Often,no,Occasionally,yes,2,yes,3,3,Competitive prices,Shipping speed and reliability
,46,Female,Once a month,['others'],sometimes,Rarely,others,First page,5,yes,Always,High shipping costs,Always,yes,Rarely,sometimes,1,yes,1,1,User-friendly website/app interface,Shipping speed and reliability
,36,Female,Less than once a month,['others'],no,Rarely,others,Multiple pages,4,no,Never,others,Never,no,Never,sometimes,4,yes,4,4,User-friendly website/app interface,Product quality and accuracy
,40,Female,Less than once a month,['Home and Kitchen'],sometimes,Rarely,categories,Multiple pages,3,yes,Sometimes,Changed my mind or no longer need the item,Rarely,no,Moderately,yes,3,yes,2,2,Wide product selection,Customer service responsiveness
,41,Male,Less than once a month,['Clothing and Fashion'],sometimes,Few times a month,Keyword,Multiple pages,1,yes,Always,Found a better price elsewhere,Rarely,yes,Rarely,yes,5,yes,2,3,Wide product selection,Shipping speed and reliability
,34,Male,Less than once a month,['others'],no,Rarely,Keyword,Multiple pages,2,maybe,Sometimes,Changed my mind or no longer need the item,Never,yes,Moderately,sometimes,4,no,3,2,Wide product selection,Scrolling option would be much better than going to next page
,29,Female,Once a month,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']",no,Multiple times a day,Keyword,Multiple pages,1,maybe,Often,Changed my mind or no longer need the item,Always,yes,Heavily,yes,5,no,3,3,User-friendly website/app interface,Product quality and accuracy
,35,Male,Once a month,['Clothing and Fashion'],sometimes,Few times a week,categories,Multiple pages,3,yes,Sometimes,Changed my mind or no longer need the item,Rarely,no,Rarely,yes,2,yes,3,3,Product recommendations,Product quality and accuracy
,32,Male,Less than once a month,['Clothing and Fashion'],no,Rarely,Keyword,Multiple pages,5,maybe,Sometimes,Found a better price elsewhere,Rarely,yes,Moderately,yes,3,yes,1,3,Product recommendations,Reducing packaging waste
,41,Male,Few times a month,"['Beauty and Personal Care', 'Clothing and Fashion', 'others']",sometimes,Few times a week,Filter,Multiple pages,1,yes,Often,Found a better price elsewhere,Never,no,Heavily,yes,1,yes,2,2,Wide product selection,Product quality and accuracy
,35,Female,Few times a month,"['Home and Kitchen', 'others']",yes,Multiple times a day,Keyword,Multiple pages,1,yes,Sometimes,Changed my mind or no longer need the item,Sometimes,yes,Moderately,yes,2,yes,3,2,Wide product selection,Product quality and accuracy
,36,Female,Few times a month,"['Groceries and Gourmet Food', 'Home and Kitchen', 'others']",yes,Few times a week,Keyword,Multiple pages,4,yes,Sometimes,Found a better price elsewhere,Often,yes,Moderately,sometimes,3,yes,2,1,Competitive prices,Reducing packaging waste
,46,Female,Once a week,['others'],no,Few times a week,Keyword,Multiple pages,5,yes,Often,Found a better price elsewhere,Often,no,Moderately,yes,5,sometimes,3,4,Wide product selection,Customer service responsiveness
,39,Female,Few times a month,['Home and Kitchen'],sometimes,Few times a week,Filter,First page,2,yes,Sometimes,Changed my mind or no longer need the item,Sometimes,no,Rarely,no,1,sometimes,2,3,Wide product selection,Customer service responsiveness
,48,Male,Few times a month,['Beauty and Personal Care'],yes,Few times a week,Filter,Multiple pages,1,yes,Often,Changed my mind or no longer need the item,Often,yes,Occasionally,yes,2,yes,2,1,Wide product selection,Customer service responsiveness
,25,Male,Few times a month,['others'],no,Few times a week,Keyword,Multiple pages,5,no,Sometimes,Found a better price elsewhere,Sometimes,no,Occasionally,yes,3,yes,3,4,Wide product selection,Customer service responsiveness
,38,Male,Once a month,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen', 'others']",yes,Few times a week,categories,Multiple pages,1,yes,Rarely,Found a better price elsewhere,Never,no,Heavily,yes,3,sometimes,3,3,User-friendly website/app interface,Quality of product is very poor according to the big offers
,26,Male,Once a month,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']",yes,Few times a week,categories,Multiple pages,1,maybe,Sometimes,others,Sometimes,no,Occasionally,sometimes,1,yes,3,3,Competitive prices,Product quality and accuracy
,40,Female,Less than once a month,['Beauty and Personal Care'],no,Few times a week,categories,Multiple pages,4,yes,Sometimes,High shipping costs,Often,yes,Rarely,sometimes,3,no,4,3,User-friendly website/app interface,Product quality and accuracy
,49,Female,Few times a month,"['Groceries and Gourmet Food', 'Home and Kitchen', 'others']",sometimes,Multiple times a day,Keyword,Multiple pages,1,yes,Sometimes,Found a better price elsewhere,Always,yes,Heavily,yes,3,yes,3,2,Wide product selection,I have no problem with Amazon yet. But others tell me about the refund issues 
,30,Male,Less than once a month,['Clothing and Fashion'],yes,Few times a week,categories,Multiple pages,5,yes,Sometimes,Changed my mind or no longer need the item,Sometimes,yes,Occasionally,yes,3,yes,4,1,Wide product selection,Product quality and accuracy
,24,Female,Less than once a month,['Clothing and Fashion'],no,Rarely,categories,Multiple pages,1,maybe,Rarely,High shipping costs,Sometimes,no,Moderately,yes,2,sometimes,3,2,Competitive prices,Customer service responsiveness
,23,Female,Once a month,"['Beauty and Personal Care', 'Home and Kitchen']",yes,Few times a week,Keyword,First page,1,yes,Sometimes,Found a better price elsewhere,Rarely,no,Heavily,yes,2,yes,2,1,Wide product selection,Shipping speed and reliability
,27,Male,Once a month,['Clothing and Fashion'],sometimes,Few times a month,Keyword,Multiple pages,4,yes,Sometimes,Found a better price elsewhere,Sometimes,no,Occasionally,yes,3,yes,3,4,User-friendly website/app interface,Product quality and accuracy
,28,Male,Less than once a month,['others'],no,Rarely,Keyword,Multiple pages,2,maybe,Sometimes,Changed my mind or no longer need the item,Rarely,no,Moderately,yes,5,yes,2,2,Competitive prices,Product quality and accuracy
,23,Male,Less than once a month,['others'],no,Few times a week,Keyword,First page,3,yes,Rarely,Changed my mind or no longer need the item,Often,yes,Moderately,sometimes,2,sometimes,3,2,User-friendly website/app interface,Product quality and accuracy
,46,Female,Few times a month,['Home and Kitchen'],yes,Few times a week,categories,Multiple pages,1,yes,Always,Found a better price elsewhere,Often,no,Occasionally,yes,1,yes,2,2,Product recommendations,Product quality and accuracy
,27,Male,Less than once a month,['others'],sometimes,Rarely,Keyword,First page,2,maybe,Rarely,others,Often,no,Heavily,sometimes,3,sometimes,3,3,Product recommendations,Customer service responsiveness
,20,Female,Once a month,['Home and Kitchen'],no,Rarely,categories,Multiple pages,1,yes,Sometimes,Changed my mind or no longer need the item,Often,yes,Moderately,yes,3,sometimes,2,3,Competitive prices,Product quality and accuracy
,23,Female,Less than once a month,"['Beauty and Personal Care', 'Clothing and Fashion']",no,Few times a month,Keyword,Multiple pages,4,yes,Rarely,Changed my mind or no longer need the item,Sometimes,no,Heavily,yes,4,yes,3,4,User-friendly website/app interface,Shipping speed and reliability
,29,Female,Once a week,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen', 'others']",yes,Multiple times a day,Keyword,Multiple pages,1,yes,Often,Found a better price elsewhere,Never,yes,Moderately,yes,2,sometimes,2,2,Wide product selection,Customer service responsiveness
,29,Female,Less than once a month,['Clothing and Fashion'],yes,Few times a month,others,First page,1,maybe,Sometimes,High shipping costs,Sometimes,yes,Moderately,yes,1,yes,1,3,Wide product selection,Product quality and accuracy
,57,Female,Few times a month,['Home and Kitchen'],no,Few times a week,categories,Multiple pages,1,yes,Often,Found a better price elsewhere,Sometimes,yes,Heavily,yes,4,yes,3,3,User-friendly website/app interface,Customer service responsiveness
,25,Female,Less than once a month,['Beauty and Personal Care'],no,Few times a week,Keyword,Multiple pages,1,yes,Sometimes,Found a better price elsewhere,Sometimes,no,Moderately,yes,4,yes,3,1,User-friendly website/app interface,Customer service responsiveness
